Generic-IO 1024-2 0 2 2.09585 0.020895 45920 7.87171 0.00481701 39760 12779520 17 disable disable enable enable 360710144 
Generic-IO 1024-2 0 2 2.67435 0.0163751 45920 7.74633 0.00489497 39760 2621440 9 enable enable disable enable 529530880 
Generic-IO 1024-2 0 2 2.06211 0.0212369 45920 9.27347 0.00408888 39760 9633792 11 disable disable disable enable 56623104 
Generic-IO 1024-2 0 2 2.12659 0.0205929 45920 6.56241 0.00577807 39760 11337728 13 disable disable enable enable 119537664 
Generic-IO 1024-2 0 2 3.23625 0.0135319 45920 4.5427 0.00834703 39760 7798784 6 disable disable enable disable 18874368 
Generic-IO 1024-2 0 2 1.91595 0.022857 45920 4.92308 0.00770211 39760 8781824 19 enable disable disable disable 210763776 
Generic-IO 1024-2 0 2 3.31265 0.0132198 45920 7.74332 0.00489688 39760 24510464 6 disable disable disable enable 316669952 
Generic-IO 1024-2 0 2 0.883556 0.0466542 43224 12.5604 0.00301886 39760 15007744 7 enable disable enable enable 174063616 
Generic-IO 1024-2 0 2 1.54696 0.0283089 45920 5.5251 0.00686288 39760 22151168 15 disable disable enable disable 289406976 
Generic-IO 1024-2 0 2 3.16351 0.0138431 45920 4.15454 0.0091269 39760 11468800 4 enable enable enable enable 185597952 
Generic-IO 1024-2 0 2 2.20153 0.019892 45920 4.13596 0.00916791 39760 32768000 17 enable enable disable enable 393216000 
Generic-IO 1024-2 0 2 1.87791 0.02332 45920 5.23882 0.00723791 39760 21692416 17 enable enable disable disable 422576128 
Generic-IO 1024-2 0 2 4.52637 0.00967503 45920 11.3389 0.00334406 39760 6422528 1 enable enable disable disable 79691776 
Generic-IO 1024-2 0 2 4.17948 0.010478 45920 13.5526 0.00279784 39760 9764864 4 disable enable disable enable 106954752 
Generic-IO 1024-2 0 2 3.59487 0.012182 45920 7.04278 0.00538397 39760 19464192 1 disable enable enable enable 447741952 
Generic-IO 1024-2 0 2 2.92438 0.0149751 45920 9.68811 0.00391388 39760 30081024 7 enable enable enable disable 402653184 
